Address,Type,Datetime,Latitude,Longitude,Incident Number
12001 LAKE CITY WAY NE,Aid Response,05/23/2019 10:32:00 AM,47.715614,-122.29740100000001,F190052274
105 5th Av S,Trans to AMR,05/23/2019 10:13:00 AM,47.601643,-122.327656,F190052271
10015 Lake City Way Ne,Aid Response,05/23/2019 10:12:00 AM,47.701235,-122.302498,F190052270
515 MINOR AV,Aid Response Yellow,05/23/2019 10:05:00 AM,47.606466999999995,-122.32091000000001,F190052267
517 3rd Av,Aid Response,05/23/2019 10:02:00 AM,47.602171999999996,-122.330863,F190052266
601 N 34th St,Aid Response,05/23/2019 09:55:00 AM,47.649821,-122.35128700000001,F190052265
1410 Ne 85th St,Aid Response,05/23/2019 09:44:00 AM,47.690346999999996,-122.313354,F190052263
S Main St / 12th Av S,Aid Response,05/23/2019 09:36:00 AM,47.600015,-122.31723000000001,F190052260
600 Broadway,Aid Response,05/23/2019 09:35:00 AM,47.607217999999996,-122.320752,F190052261
2024 3rd Av,Aid Response,05/23/2019 09:31:00 AM,47.612578000000006,-122.341197,F190052258
1740 AIRPORT WAY S,Medic Response,05/23/2019 09:23:00 AM,47.587854,-122.32139099999999,F190052256
1820 Minor Av,Trans to AMR,05/23/2019 09:21:00 AM,47.616989000000004,-122.33081100000001,F190052254
211 Dexter Av N,Rescue Elevator,05/23/2019 09:09:00 AM,47.619839,-122.34239099999999,F190052252
2401 4th Av S,Trans to AMR,05/23/2019 08:53:00 AM,47.581886,-122.32905500000001,F190052249
232 Queen Anne Av N,Aid Response,05/23/2019 08:34:00 AM,47.620142,-122.35674399999999,F190052247
3717 39th Av S,Aid Response,05/23/2019 08:31:00 AM,47.570522,-122.283943,F190052246
2030 3rd Av,Aid Response,05/23/2019 08:26:00 AM,47.612626,-122.341277,F190052245
4545 42nd Av Sw,Aid Response,05/23/2019 08:26:00 AM,47.562472,-122.38545500000001,F190052244
182-1/2 27th Av,Aid Response Yellow,05/23/2019 08:22:00 AM,47.602996000000005,-122.29785600000001,F190052242
11th Av / E Pine St,Aid Response,05/23/2019 08:21:00 AM,47.615254,-122.31815900000001,F190052241
7547 24th Av Nw,Aid Response Yellow,05/23/2019 08:16:00 AM,47.683599,-122.387565,F190052240
1811 Eastlake Av,Aid Response Yellow,05/23/2019 08:14:00 AM,47.618002000000004,-122.329182,F190052238
2418 Nw 56th St,Aid Response,05/23/2019 08:14:00 AM,47.669458,-122.38780700000001,F190052239
500 Wall St,Auto Fire Alarm,05/23/2019 08:13:00 AM,47.617356,-122.345312,F190052237
1902 2nd Av,Medic Response,05/23/2019 08:09:00 AM,47.610972,-122.340465,F190052236
5300 24th Av Ne,Medic Response,05/23/2019 08:05:00 AM,47.66707,-122.301946,F190052235
5349 S Hazel St,Aid Response,05/23/2019 08:03:00 AM,47.504855,-122.2653,F190052234
NB SR509 TO MICHIGAN / S MICHIGAN ST,Medic Response Freeway,05/23/2019 07:58:00 AM,47.544881,-122.33130600000001,F190052233
360 W Ewing St,Aid Response,05/23/2019 07:42:00 AM,47.652204,-122.362075,F190052231
85 Pike St,Aid Response,05/23/2019 07:25:00 AM,47.608584,-122.340581,F190052227
1007 1st Av,Activated CO Detector,05/23/2019 07:24:00 AM,47.604739,-122.33627800000001,F190052226
5410 20th Av S,Trans to AMR,05/23/2019 07:08:00 AM,47.553828,-122.307326,F190052223
15th Av S / S Spokane St,MVI - Motor Vehicle Incident,05/23/2019 06:54:00 AM,47.571628999999994,-122.31340800000001,F190052220
13300 19th Av Ne,Aid Response,05/23/2019 06:50:00 AM,47.725446000000005,-122.309081,F190052219
318 2nd Av Et S,Aid Response,05/23/2019 06:41:00 AM,47.600194,-122.330541,F190052216
814 Ne 40th St,Trans to AMR,05/23/2019 06:28:00 AM,47.655839,-122.31965500000001,F190052213
